BGD(0/49): loss=2852.0391348515573, w=0.7075625032674933, b=13.32789823167429
BGD(1/49): loss=1825.9850450301672, w=1.2740168273119252, b=23.990216817013717
BGD(2/49): loss=1169.3077854571814, w=1.727503974732638, b=32.52007168528526
BGD(3/49): loss=749.0326459781147, w=2.0905528281820187, b=39.3439555799025
BGD(4/49): loss=480.05547141724435, w=2.3811993674292085, b=44.80306269559628
BGD(5/49): loss=307.9093841173321, w=2.613882682563672, b=49.17034838815131
BGD(6/49): loss=197.73544243739016, w=2.800162296565605, b=52.66417694219533
BGD(7/49): loss=127.22383403736701, w=2.949292433260866, b=55.459239785430555
BGD(8/49): loss=82.09622153611427, w=3.0686817598380434, b=57.69529006001873
BGD(9/49): loss=53.21443216767158, w=3.164261443572115, b=59.48413027968927
BGD(10/49): loss=34.73001174923219, w=3.2407798075215055, b=60.9152024554257
BGD(11/49): loss=22.899934470144352, w=3.3020382234604178, b=62.060060196014845
BGD(12/49): loss=15.32865411221005, w=3.351079961020655, b=62.975946388486165
BGD(13/49): loss=10.483014879307655, w=3.3903413749188793, b=63.70865534246322
BGD(14/49): loss=7.381793077689646, w=3.421772941131115, b=64.29482250564486
BGD(15/49): loss=5.397002989806633, w=3.446936154995882, b=64.76375623619018
BGD(16/49): loss=4.126732119818885, w=3.4670811050670465, b=65.13890322062643
BGD(17/49): loss=3.3137554214629237, w=3.483208576524019, b=65.43902080817543
BGD(18/49): loss=2.7934481928580053, w=3.496119769387572, b=65.67911487821463
BGD(19/49): loss=2.460450193931546, w=3.5064561015029083, b=65.87119013424599
BGD(20/49): loss=2.247330594886837, w=3.5147310736706716, b=66.02485033907108
BGD(21/49): loss=2.1109334876652732, w=3.5213557799604067, b=66.14777850293115
BGD(22/49): loss=2.023638977674695, w=3.5266593305386458, b=66.2461210340192
BGD(23/49): loss=1.9677702596741875, w=3.5309052016015676, b=66.32479505888965
BGD(24/49): loss=1.9320141317138606, w=3.534304324663941, b=66.387734278786
BGD(25/49): loss=1.9091301146818764, w=3.5370255654698757, b=66.43808565470309
BGD(26/49): loss=1.894484282806474, w=3.539204113109369, b=66.47836675543675
BGD(27/49): loss=1.8851109113264939, w=3.5409481961053295, b=66.51059163602369
BGD(28/49): loss=1.8791119285325404, w=3.5423444591209527, b=66.53637154049323
BGD(29/49): loss=1.8752725634915708, w=3.5434622673980316, b=66.55699546406888
BGD(30/49): loss=1.8728153595768513, w=3.5443571527672817, b=66.57349460292939
BGD(31/49): loss=1.8712427424773803, w=3.54507357242575, b=66.5866939140178
BGD(32/49): loss=1.8702362633074991, w=3.5456471175351862, b=66.59725336288852
BGD(33/49): loss=1.869592113930125, w=3.546106281362798, b=66.6057009219851
BGD(34/49): loss=1.8691798565925968, w=3.5464738748042173, b=66.61245896926236
BGD(35/49): loss=1.8689160107839393, w=3.546768159610748, b=66.61786540708418
BGD(36/49): loss=1.8687471487532976, w=3.547003755618719, b=66.62219055734163
BGD(37/49): loss=1.8686390765966472, w=3.547192367051386, b=66.62565067754758
BGD(38/49): loss=1.8685699101234663, w=3.5473433639754814, b=66.62841877371235
BGD(39/49): loss=1.8685256433928934, w=3.547464247798714, b=66.63063325064417
BGD(40/49): loss=1.8684973125650017, w=3.547561023933771, b=66.63240483218962
BGD(41/49): loss=1.868479180758035, w=3.547638500142465, b=66.63382209742598
BGD(42/49): loss=1.8684675763521483, w=3.5477005253815395, b=66.63495590961507
BGD(43/49): loss=1.8684601495007045, w=3.5477501810157928, b=66.63586295936635
BGD(44/49): loss=1.8684553962954766, w=3.5477899338978434, b=66.63658859916737
BGD(45/49): loss=1.868452354231119, w=3.5478217589194165, b=66.63716911100818
BGD(46/49): loss=1.8684504073015904, w=3.5478472371224017, b=66.63763352048083
BGD(47/49): loss=1.868449161261346, w=3.547867634243763, b=66.63800504805896
BGD(48/49): loss=1.868448363792165, w=3.54788396359635, b=66.63830227012146
BGD(49/49): loss=1.8684478534096927, w=3.5478970364094784, b=66.63854004777146
Learn: execution time=0.002 seconds
R2: 0.8362099758134547
MSE: 2.4156981721089568
RMSE: 1.5542516437530174
MAE: 1.2801806378951273
MiniBGD(0/49): loss=3001.241924886938, w=0.6446050419574149, b=12.11441464334992
MiniBGD(1/49): loss=1986.6966512472616, w=1.1647734920599861, b=22.025149750593897
MiniBGD(2/49): loss=1367.3725692758098, w=1.5968033904181613, b=30.136069760461027
MiniBGD(3/49): loss=883.9366568634281, w=1.9523964655660309, b=36.772554113787905
MiniBGD(4/49): loss=593.9936389505403, w=2.242651580240292, b=42.20350355491865
MiniBGD(5/49): loss=380.95322824656876, w=2.480214343986762, b=46.646114234935794
MiniBGD(6/49): loss=256.85689693540536, w=2.674739757856018, b=50.27974946204666
MiniBGD(7/49): loss=163.63014846499306, w=2.8322683370826542, b=53.25310091838208
MiniBGD(8/49): loss=113.98274381683821, w=2.9625775600514213, b=55.685844147283504
MiniBGD(9/49): loss=91.2633134683161, w=3.06865137475825, b=57.677919649043524
MiniBGD(10/49): loss=62.15126650375233, w=3.1551409153213816, b=59.30744383879304
MiniBGD(11/49): loss=35.929507970534544, w=3.227961193369373, b=60.639803597974264
MiniBGD(12/49): loss=27.982756260064548, w=3.285291403776235, b=61.729252146084875
MiniBGD(13/49): loss=16.55005506289178, w=3.3321515577182987, b=62.62357367809446
MiniBGD(14/49): loss=9.391667627371408, w=3.3727707473980764, b=63.35528683215738
MiniBGD(15/49): loss=6.970865553657307, w=3.40525782143402, b=63.95174800260472
MiniBGD(16/49): loss=4.238463935418145, w=3.43047955136978, b=64.44002506154948
MiniBGD(17/49): loss=4.72369087492022, w=3.452233661384652, b=64.84073039340178
MiniBGD(18/49): loss=2.1943411167999387, w=3.469009355115005, b=65.16715819277965
MiniBGD(19/49): loss=3.6826454948134013, w=3.483531394032773, b=65.43518498787104
MiniBGD(20/49): loss=6.7967114585063655, w=3.4946176525189787, b=65.65449342372914
MiniBGD(21/49): loss=2.317154845857199, w=3.504203448497543, b=65.83372230677253
MiniBGD(22/49): loss=6.358764375152655, w=3.511100667888277, b=65.98010455489708
MiniBGD(23/49): loss=1.681401546043618, w=3.517492240320307, b=66.10011516122174
MiniBGD(24/49): loss=3.0585384291843902, w=3.522772966528751, b=66.19743380342412
